Power,Number of TaskRunners,runtime
50,3,1075.8390000000018
50,4,738.1100000000005
50,5,736.6549999999999
50,6,413.463999999998
50,7,402.44399999999825
50,8,422.7249999999985
50,9,435.81199999999865
50,10,445.6079999999987
50,11,408.4909999999989
50,12,409.10299999999876
50,13,411.70499999999873
50,14,412.3939999999988
50,15,399.9959999999988
50,16,485.4039999999987
50,17,488.00599999999866
60,3,1406.3739999999987
60,4,741.3240000000005
60,5,750.2769999999997
60,6,728.2329999999985
60,7,443.3869999999977
60,8,422.6479999999982
60,9,441.55099999999817
60,10,446.8319999999984
60,11,401.8319999999984
60,12,405.73499999999837
60,13,397.3169999999986
60,14,410.32699999999846
60,15,400.5309999999984
60,16,495.04599999999823
60,17,500.9389999999983
70,3,1429.1799999999982
70,4,1098.5680000000016
70,5,752.802
70,6,760.0689999999983
70,7,760.7579999999983
70,8,447.90199999999754
70,9,444.6879999999977
70,10,450.6579999999981
70,11,404.96899999999795
70,12,401.7549999999981
70,13,410.86199999999803
70,14,412.85199999999816
70,15,401.7549999999981
70,16,491.065999999998
70,17,488.463999999998
80,3,1743.413999999996
80,4,1098.5680000000016
80,5,756.0160000000006
80,6,767.7209999999983
80,7,772.3899999999982
80,8,764.6609999999984
80,9,466.11599999999737
80,10,449.89199999999767
80,11,438.79499999999763
80,12,414.6879999999977
80,13,416.67799999999784
80,14,423.1829999999978
80,15,417.2899999999977
80,16,485.0959999999976
80,17,488.9989999999976
90,3,1764.9189999999955
90,4,1084.180000000002
90,5,1068.8720000000028
90,6,755.858
90,7,768.3329999999988
90,8,791.2929999999982
90,9,769.1759999999982
90,10,765.9619999999983
90,11,759.4569999999984
90,12,473.9219999999973
90,13,470.01899999999733
90,14,470.01899999999733
90,15,481.11599999999737
90,16,482.41699999999736
90,17,488.9219999999973
100,3,2099.356999999993
100,4,1441.4239999999988
100,5,1098.7950000000033
100,6,764.1220000000028
100,7,764.2760000000007
100,8,791.1389999999991
100,9,813.4099999999979
100,10,765.8849999999981
100,11,776.2929999999981
100,12,786.0889999999982
100,13,797.1859999999982
100,14,502.543999999997
100,15,509.04899999999697
100,16,505.75799999999685
100,17,521.3699999999968
110,3,2100.6579999999926
110,4,1441.4239999999988
110,5,1102.0090000000037
110,6,1061.2890000000052
110,7,760.2190000000027
110,8,795.5770000000008
110,9,821.7509999999996
110,10,819.2259999999985
110,11,812.7209999999983
110,12,781.4199999999983
110,13,810.7309999999987
110,14,812.7209999999983
110,15,838.1289999999987
110,16,554.5839999999968
110,17,828.4099999999981
120,3,2436.39699999999
120,4,1427.035999999998
120,5,1105.8350000000048
120,6,1110.115000000006
120,7,793.9680000000048
120,8,794.8110000000023
120,9,807.2860000000012
120,10,823.6640000000002
120,11,814.5569999999999
120,12,786.5469999999995
120,13,802.8479999999995
120,14,814.5569999999999
120,15,832.8479999999995
120,16,845.858
120,17,832.159
130,3,2436.39699999999
130,4,1784.279999999995
130,5,1115.5540000000055
130,6,1118.3790000000088
130,7,1114.630000000006
130,8,794.6570000000044
130,9,808.5100000000023
130,10,824.8880000000013
130,11,818.3830000000011
130,12,772.7710000000005
130,13,809.2760000000007
130,14,811.8780000000008
130,15,837.2860000000012
130,16,914.1990000000018
130,17,828.1790000000009
140,3,2772.1359999999872
140,4,1784.279999999995
140,5,1446.7010000000023
140,6,1107.8170000000105
140,7,1110.573000000008
140,8,1102.9210000000064
140,9,812.948000000004
140,10,811.1120000000024
140,11,816.3160000000025
140,12,780.5000000000018
140,13,813.1020000000019
140,14,815.704000000002
140,15,848.3060000000021
140,16,908.9180000000026
140,17,955.2190000000027
150,3,2792.339999999987
150,4,1769.8919999999941
150,5,1448.6140000000014
150,6,1115.4690000000128
150,7,1106.51600000001
150,8,1144.5530000000072
150,9,817.3860000000057
150,10,812.948000000004
150,11,816.8510000000041
150,12,781.7240000000029
150,13,807.1320000000032
150,14,805.8310000000032
150,15,843.6370000000035
150,16,904.249000000004
150,17,946.6470000000039
160,3,3107.8749999999845
160,4,2127.1359999999913
160,5,1451.2160000000013
160,6,1394.3450000000093
160,7,1120.061000000012
160,8,1157.4860000000085
160,9,1136.7470000000071
160,10,824.5800000000054
160,11,820.0650000000047
160,12,780.9580000000044
160,13,807.6670000000048
160,14,805.0650000000047
160,15,848.7640000000047
160,16,909.3760000000052
160,17,945.8810000000054
170,3,3416.9049999999825
170,4,2127.1359999999913
170,5,1452.5170000000012
170,6,1444.4720000000075
170,7,1116.0040000000122
170,8,1141.0310000000106
170,9,1152.971000000008
170,10,1108.7370000000067
170,11,854.5030000000064
170,12,811.493000000006
170,13,810.1920000000059
170,14,813.4830000000055
170,15,847.9980000000062
170,16,903.4060000000065
170,17,951.0080000000066
180,3,3443.613999999982
180,4,2112.74799999999
180,5,1770.6539999999986
180,6,1435.823000000004
180,7,1440.5690000000077
180,8,1158.5560000000114
180,9,1181.5160000000096
180,10,1162.0780000000082
180,11,1164.0680000000075
180,12,1152.3590000000072
180,13,870.7270000000075
180,14,849.2220000000073
180,15,856.416000000007
180,16,913.1250000000074
180,17,945.038000000008
190,3,3756.5469999999796
190,4,2469.991999999987
190,5,1791.4699999999975
190,6,1444.1640000000011
190,7,1472.4050000000052
190,8,1143.4020000000123
190,9,1189.2450000000108
190,10,1197.8170000000093
190,11,1190.0110000000088
190,12,1160.700000000009
190,13,1182.2820000000079
190,14,1193.9910000000082
190,15,909.7570000000088
190,16,899.961000000009
190,17,944.961000000009
